quote,author,tags,born_information,author_description
"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,['dumbledore'],"July 31, 1965 in Yate, South Gloucestershire, England, The United Kingdom","See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced like rolling, her name when her first Harry Potter book was published was simply Joanne Rowling. Anticipating that the target audience of young boys might not want to read a book written by a woman, her publishers demanded that she use two initials, rather than her full name. As she had no middle name, she chose K as the second initial of her pen name, from her paternal grandmother Kathleen Ada Bulgen Rowling. She calls herself Jo and has said, ""No one ever called me 'Joanne' when I was young, unless they were angry."" Following her marriage, she has sometimes used the name Joanne Murray when conducting personal business. During the Leveson Inquiry she gave evidence under the name of Joanne Kathleen Rowling. In a 2012 interview, Rowling noted that she no longer cared that people pronounced her name incorrectly.Rowling was born to Peter James Rowling, a Rolls-Royce aircraft engineer, and Anne Rowling (née Volant), on 31 July 1965 in Yate, Gloucestershire, England, 10 miles (16 km) northeast of Bristol. Her mother Anne was half-French and half-Scottish. Her parents first met on a train departing from King's Cross Station bound for Arbroath in 1964. They married on 14 March 1965. Her mother's maternal grandfather, Dugald Campbell, was born in Lamlash on the Isle of Arran. Her mother's paternal grandfather, Louis Volant, was awarded the Croix de Guerre for exceptional bravery in defending the village of Courcelles-le-Comte during the First World War.Rowling's sister Dianne was born at their home when Rowling was 23 months old. The family moved to the nearby village Winterbourne when Rowling was four. She attended St Michael's Primary School, a school founded by abolitionist William Wilberforce and education reformer Hannah More. Her headmaster at St Michael's, Alfred Dunn, has been suggested as the inspiration for the Harry Potter headmaster Albus Dumbledore.As a child, Rowling often wrote fantasy stories, which she would usually then read to her sister. She recalls that: ""I can still remember me telling her a story in which she fell down a rabbit hole and was fed strawberries by the rabbit family inside it. Certainly the first story I ever wrote down (when I was five or six) was about a rabbit called Rabbit. He got the measles and was visited by his friends, including a giant bee called Miss Bee."" At the age of nine, Rowling moved to Church Cottage in the Gloucestershire village of Tutshill, close to Chepstow, Wales. When she was a young teenager, her great aunt, who Rowling said ""taught classics and approved of a thirst for knowledge, even of a questionable kind,"" gave her a very old copy of Jessica Mitford's autobiography, Hons and Rebels. Mitford became Rowling's heroine, and Rowling subsequently read all of her books.Rowling has said of her teenage years, in an interview with The New Yorker, ""I wasn’t particularly happy. I think it’s a dreadful time of life."" She had a difficult homelife; her mother was ill and she had a difficult relationship with her father (she is no longer on speaking terms with him). She attended secondary school at Wyedean School and College, where her mother had worked as a technician in the science department. Rowling said of her adolescence, ""Hermione [a bookish, know-it-all Harry Potter character] is loosely based on me. She's a caricature of me when I was eleven, which I'm not particularly proud of."" Steve Eddy, who taught Rowling English when she first arrived, remembers her as ""not exceptional"" but ""one of a group of girls who were bright, and quite good at English."" Sean Harris, her best friend in the Upper Sixth owned a turquoise Ford Anglia, which she says inspired the one in her books."
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"['chocolate', 'food', 'humor']","November 26, 1922 in Minneapolis, MN, The United States","Charles Monroe Schulz was an American cartoonist, whose comic strip Peanuts proved one of the most popular and influential in the history of the medium, and is still widely reprinted on a daily basis.Schulz's first regular cartoons, Li'l Folks, were published from 1947 to 1950 by the St. Paul Pioneer Press; he first used the name Charlie Brown for a character there, although he applied the name in four gags to three different boys and one buried in sand. The series also had a dog that looked much like Snoopy. In 1948, Schulz sold a cartoon to The Saturday Evening Post; the first of 17 single-panel cartoons by Schulz that would be published there. In 1948, Schulz tried to have Li'l Folks syndicated through the Newspaper Enterprise Association. Schulz would have been an independent contractor for the syndicate, unheard of in the 1940s, but the deal fell through. Li'l Folks was dropped from the Pioneer Press in January, 1950.Later that year, Schulz approached the United Feature Syndicate with his best strips from Li'l Folks, and Peanuts made its first appearance on October 2, 1950. The strip became one of the most popular comic strips of all time. He also had a short-lived sports-oriented comic strip called It's Only a Game (1957–1959), but he abandoned it due to the demands of the successful Peanuts. From 1956 to 1965 he contributed a single-panel strip (""Young Pillars"") featuring teenagers to Youth, a publication associated with the Church of God.Peanuts ran for nearly 50 years, almost without interruption; during the life of the strip, Schulz took only one vacation, a five-week break in late 1997. At its peak, Peanuts appeared in more than 2,600 newspapers in 75 countries. Schulz stated that his routine every morning consisted of eating a jelly donut and sitting down to write the day's strip. After coming up with an idea (which he said could take anywhere from a few minutes to a few hours), he began drawing it, which took about an hour for dailies and three hours for Sunday strips. He stubbornly refused to hire an inker or letterer, saying that ""it would be equivalent to a golfer hiring a man to make his putts for him."" In November 1999 Schulz suffered a stroke, and later it was discovered that he had colon cancer that had metastasized. Because of the chemotherapy and the fact he could not read or see clearly, he announced his retirement on December 14, 1999. Schulz often touched on religious themes in his work, including the classic television cartoon, A Charlie Brown Christmas (1965), which features the character Linus van Pelt quoting the King James Version of the Bible Luke 2:8-14 to explain ""what Christmas is all about."" In personal interviews Schulz mentioned that Linus represented his spiritual side. Schulz, reared in the Lutheran faith, had been active in the Church of God as a young adult and then later taught Sunday school at a United Methodist Church. In the 1960s, Robert L. Short interpreted certain themes and conversations in Peanuts as being consistent with parts of Christian theology, and used them as illustrations during his lectures about the gospel, as he explained in his bestselling paperback book, The Gospel According to Peanuts, the first of several books he wrote on religion and Peanuts, and other popular culture items.From the late 1980s, however, Schulz described himself in interviews as a ""secular humanist"": “I do not go to church anymore... I guess you might say I've come around to secular humanism, an obligation I believe all humans have to others and the world we live in.”"
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"['chocolate', 'food', 'humor']","November 26, 1922 in Minneapolis, MN, The United States","Charles Monroe Schulz was an American cartoonist, whose comic strip Peanuts proved one of the most popular and influential in the history of the medium, and is still widely reprinted on a daily basis.Schulz's first regular cartoons, Li'l Folks, were published from 1947 to 1950 by the St. Paul Pioneer Press; he first used the name Charlie Brown for a character there, although he applied the name in four gags to three different boys and one buried in sand. The series also had a dog that looked much like Snoopy. In 1948, Schulz sold a cartoon to The Saturday Evening Post; the first of 17 single-panel cartoons by Schulz that would be published there. In 1948, Schulz tried to have Li'l Folks syndicated through the Newspaper Enterprise Association. Schulz would have been an independent contractor for the syndicate, unheard of in the 1940s, but the deal fell through. Li'l Folks was dropped from the Pioneer Press in January, 1950.Later that year, Schulz approached the United Feature Syndicate with his best strips from Li'l Folks, and Peanuts made its first appearance on October 2, 1950. The strip became one of the most popular comic strips of all time. He also had a short-lived sports-oriented comic strip called It's Only a Game (1957–1959), but he abandoned it due to the demands of the successful Peanuts. From 1956 to 1965 he contributed a single-panel strip (""Young Pillars"") featuring teenagers to Youth, a publication associated with the Church of God.Peanuts ran for nearly 50 years, almost without interruption; during the life of the strip, Schulz took only one vacation, a five-week break in late 1997. At its peak, Peanuts appeared in more than 2,600 newspapers in 75 countries. Schulz stated that his routine every morning consisted of eating a jelly donut and sitting down to write the day's strip. After coming up with an idea (which he said could take anywhere from a few minutes to a few hours), he began drawing it, which took about an hour for dailies and three hours for Sunday strips. He stubbornly refused to hire an inker or letterer, saying that ""it would be equivalent to a golfer hiring a man to make his putts for him."" In November 1999 Schulz suffered a stroke, and later it was discovered that he had colon cancer that had metastasized. Because of the chemotherapy and the fact he could not read or see clearly, he announced his retirement on December 14, 1999. Schulz often touched on religious themes in his work, including the classic television cartoon, A Charlie Brown Christmas (1965), which features the character Linus van Pelt quoting the King James Version of the Bible Luke 2:8-14 to explain ""what Christmas is all about."" In personal interviews Schulz mentioned that Linus represented his spiritual side. Schulz, reared in the Lutheran faith, had been active in the Church of God as a young adult and then later taught Sunday school at a United Methodist Church. In the 1960s, Robert L. Short interpreted certain themes and conversations in Peanuts as being consistent with parts of Christian theology, and used them as illustrations during his lectures about the gospel, as he explained in his bestselling paperback book, The Gospel According to Peanuts, the first of several books he wrote on religion and Peanuts, and other popular culture items.From the late 1980s, however, Schulz described himself in interviews as a ""secular humanist"": “I do not go to church anymore... I guess you might say I've come around to secular humanism, an obligation I believe all humans have to others and the world we live in.”"
“We read to know we're not alone.”,William Nicholson,"['misattributed-to-c-s-lewis', 'reading']","January 12, 1948 in Lewes, Sussex, The United Kingdom","Librarian Note: There is more than one author in the GoodReads database with this name. See this thread for more information. William Nicholson was born in 1948, and grew up in Sussex and Gloucestershire. His plays for television include Shadowlands and Life Story , both of which won the BAFTA Best Television Drama award in their year; other award-winners were Sweet As You Are and The March . In 1988 he received the Royal Television Society's Writer's Award. His first play, an adaptation of Shadowlands for the stage, was Evening Standard Best Play of 1990, and went on to a Tony Award winning run on Broadway. He was nominated for an Oscar for the screenplay of the film version, which was directed by Richard Attenborough and starred Anthony Hopkins and Debra Winger.Since then he has written more films - Sarafina, Nell, First Knight, Grey Owl , and Gladiator (as co-writer), for which he received a second Oscar nomination. He has written and directed his own film, Firelight ; and three further stage plays, Map of the Heart , Katherine Howard and The Retreat from Moscow , which ran for five months on Broadway and received three Tony Award nominations.His novel for older children, The Wind Singer, won the Smarties Prize Gold Award on publication in 2000, and the Blue Peter Book of the Year Award in 2001. Its sequel, Slaves of the Mastery , was published in May 2001, and the final volume in the trilogy, Firesong , in May 2002. The trilogy has been sold in every major foreign market, from the US to China.He is now at work on a new sequence of novels for older children, called The Noble Warriors . The first book, Seeker , was published in the UK in September 2005.The second book, Jango, in 2006 and the third book NOMAN, will be published in September 2007.His novels for adults are The Society of Others (April 2004) and The Trial of True Love (April 2005).He lives in Sussex with his wife Virginia and their three children.from williamnicholson.co.uk"
“Any fool can know. The point is to understand.”,Albert Einstein,"['knowledge', 'learning', 'understanding', 'wisdom']","March 14, 1879 in Ulm, Germany","In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zurich by 1909. His 1905 paper explaining the photoelectric effect, the basis of electronics, earned him the Nobel Prize in 1921. His first paper on Special Relativity Theory, also published in 1905, changed the world. After the rise of the Nazi party, Einstein made Princeton his permanent home, becoming a U.S. citizen in 1940. Einstein, a pacifist during World War I, stayed a firm proponent of social justice and responsibility. He chaired the Emergency Committee of Atomic Scientists, which organized to alert the public to the dangers of atomic warfare.At a symposium, he advised: ""In their struggle for the ethical good, teachers of religion must have the stature to give up the doctrine of a personal God, that is, give up that source of fear and hope which in the past placed such vast power in the hands of priests. In their labors they will have to avail themselves of those forces which are capable of cultivating the Good, the True, and the Beautiful in humanity itself. This is, to be sure a more difficult but an incomparably more worthy task . . . "" (""Science, Philosophy and Religion, A Symposium,"" published by the Conference on Science, Philosophy and Religion in their Relation to the Democratic Way of Life, Inc., New York, 1941). In a letter to philosopher Eric Gutkind, dated Jan. 3, 1954, Einstein stated: ""The word god is for me nothing more than the expression and product of human weaknesses, the Bible a collection of honorable, but still primitive legends which are nevertheless pretty childish. No interpretation no matter how subtle can (for me) change this,"" (The Guardian, ""Childish superstition: Einstein's letter makes view of religion relatively clear,"" by James Randerson, May 13, 2008). D. 1955.While best known for his mass–energy equivalence formula E = mc2 (which has been dubbed ""the world's most famous equation""), he received the 1921 Nobel Prize in Physics ""for his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"". The latter was pivotal in establishing quantum theory.Einstein thought that Newtonion mechanics was no longer enough to reconcile the laws of classical mechanics with the laws of the electromagnetic field. This led to the development of his special theory of relativity. He realized, however, that the principle of relativity could also be extended to gravitational fields, and with his subsequent theory of gravitation in 1916, he published a paper on the general theory of relativity. He continued to deal with problems of statistical mechanics and quantum theory, which led to his explanations of particle theory and the motion of molecules. He also investigated the thermal properties of light which laid the foundation of the photon theory of light.He was visiting the United States when Adolf Hitler came to power in 1933 and did not go back to Germany. On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential development of ""extremely powerful bombs of a new type"" and recommending that the U.S. begin similar research. This eventually led to what would become the Manhattan Project. Einstein supported defending the Allied forces, but largely denounced the idea of using the newly discovered nuclear fission as a weapon. Later, with Bertrand Russell, Einstein signed the Russell–Einstein Manifesto, which highlighted the danger of nuclear weapons. Einstein was affiliated with the Institute for Advanced Study in Princeton, New Jersey, until his death in 1955.His great intellectual achievements and originality have made the word ""Einstein"" synonymous with genius.More: http://en.wikipedia.org/wiki/Albert_E...http://www.nobelprize.org/nobel_prize..."
“Any fool can know. The point is to understand.”,Albert Einstein,"['knowledge', 'learning', 'understanding', 'wisdom']","March 14, 1879 in Ulm, Germany","In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zurich by 1909. His 1905 paper explaining the photoelectric effect, the basis of electronics, earned him the Nobel Prize in 1921. His first paper on Special Relativity Theory, also published in 1905, changed the world. After the rise of the Nazi party, Einstein made Princeton his permanent home, becoming a U.S. citizen in 1940. Einstein, a pacifist during World War I, stayed a firm proponent of social justice and responsibility. He chaired the Emergency Committee of Atomic Scientists, which organized to alert the public to the dangers of atomic warfare.At a symposium, he advised: ""In their struggle for the ethical good, teachers of religion must have the stature to give up the doctrine of a personal God, that is, give up that source of fear and hope which in the past placed such vast power in the hands of priests. In their labors they will have to avail themselves of those forces which are capable of cultivating the Good, the True, and the Beautiful in humanity itself. This is, to be sure a more difficult but an incomparably more worthy task . . . "" (""Science, Philosophy and Religion, A Symposium,"" published by the Conference on Science, Philosophy and Religion in their Relation to the Democratic Way of Life, Inc., New York, 1941). In a letter to philosopher Eric Gutkind, dated Jan. 3, 1954, Einstein stated: ""The word god is for me nothing more than the expression and product of human weaknesses, the Bible a collection of honorable, but still primitive legends which are nevertheless pretty childish. No interpretation no matter how subtle can (for me) change this,"" (The Guardian, ""Childish superstition: Einstein's letter makes view of religion relatively clear,"" by James Randerson, May 13, 2008). D. 1955.While best known for his mass–energy equivalence formula E = mc2 (which has been dubbed ""the world's most famous equation""), he received the 1921 Nobel Prize in Physics ""for his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"". The latter was pivotal in establishing quantum theory.Einstein thought that Newtonion mechanics was no longer enough to reconcile the laws of classical mechanics with the laws of the electromagnetic field. This led to the development of his special theory of relativity. He realized, however, that the principle of relativity could also be extended to gravitational fields, and with his subsequent theory of gravitation in 1916, he published a paper on the general theory of relativity. He continued to deal with problems of statistical mechanics and quantum theory, which led to his explanations of particle theory and the motion of molecules. He also investigated the thermal properties of light which laid the foundation of the photon theory of light.He was visiting the United States when Adolf Hitler came to power in 1933 and did not go back to Germany. On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential development of ""extremely powerful bombs of a new type"" and recommending that the U.S. begin similar research. This eventually led to what would become the Manhattan Project. Einstein supported defending the Allied forces, but largely denounced the idea of using the newly discovered nuclear fission as a weapon. Later, with Bertrand Russell, Einstein signed the Russell–Einstein Manifesto, which highlighted the danger of nuclear weapons. Einstein was affiliated with the Institute for Advanced Study in Princeton, New Jersey, until his death in 1955.His great intellectual achievements and originality have made the word ""Einstein"" synonymous with genius.More: http://en.wikipedia.org/wiki/Albert_E...http://www.nobelprize.org/nobel_prize..."
“Any fool can know. The point is to understand.”,Albert Einstein,"['knowledge', 'learning', 'understanding', 'wisdom']","March 14, 1879 in Ulm, Germany","In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zurich by 1909. His 1905 paper explaining the photoelectric effect, the basis of electronics, earned him the Nobel Prize in 1921. His first paper on Special Relativity Theory, also published in 1905, changed the world. After the rise of the Nazi party, Einstein made Princeton his permanent home, becoming a U.S. citizen in 1940. Einstein, a pacifist during World War I, stayed a firm proponent of social justice and responsibility. He chaired the Emergency Committee of Atomic Scientists, which organized to alert the public to the dangers of atomic warfare.At a symposium, he advised: ""In their struggle for the ethical good, teachers of religion must have the stature to give up the doctrine of a personal God, that is, give up that source of fear and hope which in the past placed such vast power in the hands of priests. In their labors they will have to avail themselves of those forces which are capable of cultivating the Good, the True, and the Beautiful in humanity itself. This is, to be sure a more difficult but an incomparably more worthy task . . . "" (""Science, Philosophy and Religion, A Symposium,"" published by the Conference on Science, Philosophy and Religion in their Relation to the Democratic Way of Life, Inc., New York, 1941). In a letter to philosopher Eric Gutkind, dated Jan. 3, 1954, Einstein stated: ""The word god is for me nothing more than the expression and product of human weaknesses, the Bible a collection of honorable, but still primitive legends which are nevertheless pretty childish. No interpretation no matter how subtle can (for me) change this,"" (The Guardian, ""Childish superstition: Einstein's letter makes view of religion relatively clear,"" by James Randerson, May 13, 2008). D. 1955.While best known for his mass–energy equivalence formula E = mc2 (which has been dubbed ""the world's most famous equation""), he received the 1921 Nobel Prize in Physics ""for his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"". The latter was pivotal in establishing quantum theory.Einstein thought that Newtonion mechanics was no longer enough to reconcile the laws of classical mechanics with the laws of the electromagnetic field. This led to the development of his special theory of relativity. He realized, however, that the principle of relativity could also be extended to gravitational fields, and with his subsequent theory of gravitation in 1916, he published a paper on the general theory of relativity. He continued to deal with problems of statistical mechanics and quantum theory, which led to his explanations of particle theory and the motion of molecules. He also investigated the thermal properties of light which laid the foundation of the photon theory of light.He was visiting the United States when Adolf Hitler came to power in 1933 and did not go back to Germany. On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential development of ""extremely powerful bombs of a new type"" and recommending that the U.S. begin similar research. This eventually led to what would become the Manhattan Project. Einstein supported defending the Allied forces, but largely denounced the idea of using the newly discovered nuclear fission as a weapon. Later, with Bertrand Russell, Einstein signed the Russell–Einstein Manifesto, which highlighted the danger of nuclear weapons. Einstein was affiliated with the Institute for Advanced Study in Princeton, New Jersey, until his death in 1955.His great intellectual achievements and originality have made the word ""Einstein"" synonymous with genius.More: http://en.wikipedia.org/wiki/Albert_E...http://www.nobelprize.org/nobel_prize..."
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"['books', 'library']","August 24, 1899 in Buenos Aires, Argentina","Jorge Francisco Isidoro Luis Borges Acevedo (Spanish pronunciation: [xoɾxe lwis boɾxes], Russian: Хорхе Луис Борхес) was an Argentine writer and poet born in Buenos Aires. In 1914, his family moved to Switzerland where he attended school and traveled to Spain. On his return to Argentina in 1921, Borges began publishing his poems and essays in Surrealist literary journals. He also worked as a librarian and public lecturer. Borges was fluent in several languages. He was a target of political persecution during the Peron regime and supported the military juntas that overthrew it.Due to a hereditary condition, Borges became blind in his late fifties. In 1955, he was appointed director of the National Public Library (Biblioteca Nacional) and professor of Literature at the University of Buenos Aires. In 1961, he came to international attention when he received the first International Publishers' Prize Prix Formentor. His work was translated and published widely in the United States and in Europe. He died in Geneva, Switzerland, in 1986.J. M. Coetzee said of Borges: ""He, more than anyone, renovated the language of fiction and thus opened the way to a remarkable generation of Spanish American novelists."""
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,"['books', 'library', 'reading']","December 16, 1775 in Steventon Rectory, Hampshire, The United Kingdom","Jane Austen was an English novelist whose works of romantic fiction, set among the landed gentry, earned her a place as one of the most widely read writers in English literature, her realism and biting social commentary cementing her historical importance among scholars and critics.Austen lived her entire life as part of a close-knit family located on the lower fringes of the English landed gentry. She was educated primarily by her father and older brothers as well as through her own reading. The steadfast support of her family was critical to her development as a professional writer. Her artistic apprenticeship lasted from her teenage years until she was about 35 years old. During this period, she experimented with various literary forms, including the epistolary novel which she tried then abandoned, and wrote and extensively revised three major novels and began a fourth. From 1811 until 1816, with the release of Sense and Sensibility (1811), Pride and Prejudice (1813), Mansfield Park (1814) and Emma (1815), she achieved success as a published writer. She wrote two additional novels, Northanger Abbey and Persuasion, both published posthumously in 1818, and began a third, which was eventually titled Sanditon, but died before completing it.Austen's works critique the novels of sensibility of the second half of the 18th century and are part of the transition to 19th-century realism. Her plots, though fundamentally comic, highlight the dependence of women on marriage to secure social standing and economic security. Her work brought her little personal fame and only a few positive reviews during her lifetime, but the publication in 1869 of her nephew's A Memoir of Jane Austen introduced her to a wider public, and by the 1940s she had become widely accepted in academia as a great English writer. The second half of the 20th century saw a proliferation of Austen scholarship and the emergence of a Janeite fan culture."
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,"['girls', 'love']","June 01, 1926 in The United States","Marilyn Monroe (born Norma Jeane Mortenson; June 1, 1926 – August 5, 1962) was an American actress, model, and singer, who became a major sex symbol, starring in a number of commercially successful motion pictures during the 1950s and early 1960s.After spending much of her childhood in foster homes, Monroe began a career as a model, which led to a film contract in 1946 with Twentieth Century-Fox. Her early film appearances were minor, but her performances in The Asphalt Jungle and All About Eve (both 1950), drew attention. By 1952 she had her first leading role in Don't Bother to Knock and 1953 brought a lead in Niagara, a melodramatic film noir that dwelt on her seductiveness. Her ""dumb blonde"" persona was used to comic effect in subsequent films such as Gentlemen Prefer Blondes (1953), How to Marry a Millionaire (1953) and The Seven Year Itch (1955). Limited by typecasting, Monroe studied at the Actors Studio to broaden her range. Her dramatic performance in Bus Stop (1956) was hailed by critics and garnered a Golden Globe nomination. Her production company, Marilyn Monroe Productions, released The Prince and the Showgirl (1957), for which she received a BAFTA Award nomination and won a David di Donatello award. She received a Golden Globe Award for her performance in Some Like It Hot (1959). Monroe's last completed film was The Misfits, co-starring Clark Gable with screenplay by her then-husband, Arthur Miller.Marilyn was a passionate reader, owning four hundred books at the time of her death, and was often photographed with a book.The final years of Monroe's life were marked by illness, personal problems, and a reputation for unreliability and being difficult to work with. The circumstances of her death, from an overdose of barbiturates, have been the subject of conjecture. Though officially classified as a ""probable suicide"", the possibility of an accidental overdose, as well as of homicide, have not been ruled out. In 1999, Monroe was ranked as the sixth greatest female star of all time by the American Film Institute. In the decades following her death, she has often been cited as both a pop and a cultural icon as well as the quintessential American sex symbol."
